Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","3","Albania","5510","Production","388","Tomatoes","2016","2016","tonnes","284552","","Official data"
"QC","Crops","4","Algeria","5510","Production","388","Tomatoes","2016","2016","tonnes","1280570","","Official data"
"QC","Crops","5","American Samoa","5510","Production","388","Tomatoes","2016","2016","tonnes","71","Im","FAO data based on imputation methodology"
"QC","Crops","7","Angola","5510","Production","388","Tomatoes","2016","2016","tonnes","16240","Im","FAO data based on imputation methodology"
"QC","Crops","8","Antigua and Barbuda","5510","Production","388","Tomatoes","2016","2016","tonnes","511","Im","FAO data based on imputation methodology"
"QC","Crops","9","Argentina","5510","Production","388","Tomatoes","2016","2016","tonnes","664009","Im","FAO data based on imputation methodology"
"QC","Crops","1","Armenia","5510","Production","388","Tomatoes","2016","2016","tonnes","298140","","Official data"
"QC","Crops","10","Australia","5510","Production","388","Tomatoes","2016","2016","tonnes","405167","","Official data"
"QC","Crops","11","Austria","5510","Production","388","Tomatoes","2016","2016","tonnes","55068","","Official data"
"QC","Crops","52","Azerbaijan","5510","Production","388","Tomatoes","2016","2016","tonnes","502769","","Official data"
"QC","Crops","12","Bahamas","5510","Production","388","Tomatoes","2016","2016","tonnes","4440","Im","FAO data based on imputation methodology"
"QC","Crops","13","Bahrain","5510","Production","388","Tomatoes","2016","2016","tonnes","4045","Im","FAO data based on imputation methodology"
"QC","Crops","16","Bangladesh","5510","Production","388","Tomatoes","2016","2016","tonnes","368121","","Official data"
"QC","Crops","14","Barbados","5510","Production","388","Tomatoes","2016","2016","tonnes","308","","Official data"
"QC","Crops","57","Belarus","5510","Production","388","Tomatoes","2016","2016","tonnes","282625","","Official data"
"QC","Crops","255","Belgium","5510","Production","388","Tomatoes","2016","2016","tonnes","259535","","Official data"
"QC","Crops","23","Belize","5510","Production","388","Tomatoes","2016","2016","tonnes","2858","","Official data"
"QC","Crops","53","Benin","5510","Production","388","Tomatoes","2016","2016","tonnes","335412","","Official data"
"QC","Crops","17","Bermuda","5510","Production","388","Tomatoes","2016","2016","tonnes","134","Im","FAO data based on imputation methodology"
"QC","Crops","18","Bhutan","5510","Production","388","Tomatoes","2016","2016","tonnes","587","Im","FAO data based on imputation methodology"
"QC","Crops","19","Bolivia (Plurinational State of)","5510","Production","388","Tomatoes","2016","2016","tonnes","61531","","Official data"
"QC","Crops","80","Bosnia and Herzegovina","5510","Production","388","Tomatoes","2016","2016","tonnes","57070","","Official data"
"QC","Crops","21","Brazil","5510","Production","388","Tomatoes","2016","2016","tonnes","4167629","","Official data"
"QC","Crops","26","Brunei Darussalam","5510","Production","388","Tomatoes","2016","2016","tonnes","142","Im","FAO data based on imputation methodology"
"QC","Crops","27","Bulgaria","5510","Production","388","Tomatoes","2016","2016","tonnes","141367","","Official data"
"QC","Crops","233","Burkina Faso","5510","Production","388","Tomatoes","2016","2016","tonnes","12484","Im","FAO data based on imputation methodology"
"QC","Crops","35","Cabo Verde","5510","Production","388","Tomatoes","2016","2016","tonnes","15133","","Official data"
"QC","Crops","32","Cameroon","5510","Production","388","Tomatoes","2016","2016","tonnes","1182114","","Official data"
"QC","Crops","33","Canada","5510","Production","388","Tomatoes","2016","2016","tonnes","489003","","Official data"
"QC","Crops","36","Cayman Islands","5510","Production","388","Tomatoes","2016","2016","tonnes","5","Im","FAO data based on imputation methodology"
"QC","Crops","40","Chile","5510","Production","388","Tomatoes","2016","2016","tonnes","997174","Im","FAO data based on imputation methodology"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","388","Tomatoes","2016","2016","tonnes","40","Im","FAO data based on imputation methodology"
"QC","Crops","41","China, mainland","5510","Production","388","Tomatoes","2016","2016","tonnes","56308914","Im","FAO data based on imputation methodology"
"QC","Crops","214","China, Taiwan Province of","5510","Production","388","Tomatoes","2016","2016","tonnes","114857","Im","FAO data based on imputation methodology"
"QC","Crops","44","Colombia","5510","Production","388","Tomatoes","2016","2016","tonnes","644642","Im","FAO data based on imputation methodology"
"QC","Crops","45","Comoros","5510","Production","388","Tomatoes","2016","2016","tonnes","664","Im","FAO data based on imputation methodology"
"QC","Crops","46","Congo","5510","Production","388","Tomatoes","2016","2016","tonnes","4155","Im","FAO data based on imputation methodology"
"QC","Crops","47","Cook Islands","5510","Production","388","Tomatoes","2016","2016","tonnes","281","Im","FAO data based on imputation methodology"
"QC","Crops","48","Costa Rica","5510","Production","388","Tomatoes","2016","2016","tonnes","64800","","Official data"
"QC","Crops","107","Côte d'Ivoire","5510","Production","388","Tomatoes","2016","2016","tonnes","29037","Im","FAO data based on imputation methodology"
"QC","Crops","98","Croatia","5510","Production","388","Tomatoes","2016","2016","tonnes","30707","","Official data"
"QC","Crops","49","Cuba","5510","Production","388","Tomatoes","2016","2016","tonnes","481470","","Official data"
"QC","Crops","50","Cyprus","5510","Production","388","Tomatoes","2016","2016","tonnes","22766","","Official data"
"QC","Crops","167","Czechia","5510","Production","388","Tomatoes","2016","2016","tonnes","14350","","Official data"
"QC","Crops","116","Democratic People's Republic of Korea","5510","Production","388","Tomatoes","2016","2016","tonnes","66261","Im","FAO data based on imputation methodology"
"QC","Crops","250","Democratic Republic of the Congo","5510","Production","388","Tomatoes","2016","2016","tonnes","49201","Im","FAO data based on imputation methodology"
"QC","Crops","54","Denmark","5510","Production","388","Tomatoes","2016","2016","tonnes","10580","","Official data"
"QC","Crops","72","Djibouti","5510","Production","388","Tomatoes","2016","2016","tonnes","1713","Im","FAO data based on imputation methodology"
"QC","Crops","55","Dominica","5510","Production","388","Tomatoes","2016","2016","tonnes","376","Im","FAO data based on imputation methodology"
"QC","Crops","56","Dominican Republic","5510","Production","388","Tomatoes","2016","2016","tonnes","220631","","Official data"
"QC","Crops","58","Ecuador","5510","Production","388","Tomatoes","2016","2016","tonnes","55550","","Official data"
"QC","Crops","59","Egypt","5510","Production","388","Tomatoes","2016","2016","tonnes","7943285","Im","FAO data based on imputation methodology"
"QC","Crops","60","El Salvador","5510","Production","388","Tomatoes","2016","2016","tonnes","18114","","Official data"
"QC","Crops","63","Estonia","5510","Production","388","Tomatoes","2016","2016","tonnes","2312","","Official data"
"QC","Crops","238","Ethiopia","5510","Production","388","Tomatoes","2016","2016","tonnes","28365","","Official data"
"QC","Crops","66","Fiji","5510","Production","388","Tomatoes","2016","2016","tonnes","364","Im","FAO data based on imputation methodology"
"QC","Crops","67","Finland","5510","Production","388","Tomatoes","2016","2016","tonnes","40621","","Official data"
"QC","Crops","68","France","5510","Production","388","Tomatoes","2016","2016","tonnes","640940","","Official data"
"QC","Crops","69","French Guiana","5510","Production","388","Tomatoes","2016","2016","tonnes","4665","Im","FAO data based on imputation methodology"
"QC","Crops","70","French Polynesia","5510","Production","388","Tomatoes","2016","2016","tonnes","1272","Im","FAO data based on imputation methodology"
"QC","Crops","74","Gabon","5510","Production","388","Tomatoes","2016","2016","tonnes","410","Im","FAO data based on imputation methodology"
"QC","Crops","73","Georgia","5510","Production","388","Tomatoes","2016","2016","tonnes","54100","","Official data"
"QC","Crops","79","Germany","5510","Production","388","Tomatoes","2016","2016","tonnes","85287","","Official data"
"QC","Crops","81","Ghana","5510","Production","388","Tomatoes","2016","2016","tonnes","366772","*","Unofficial figure"
"QC","Crops","84","Greece","5510","Production","388","Tomatoes","2016","2016","tonnes","1044346","Im","FAO data based on imputation methodology"
"QC","Crops","86","Grenada","5510","Production","388","Tomatoes","2016","2016","tonnes","364","Im","FAO data based on imputation methodology"
"QC","Crops","87","Guadeloupe","5510","Production","388","Tomatoes","2016","2016","tonnes","5183","Im","FAO data based on imputation methodology"
"QC","Crops","88","Guam","5510","Production","388","Tomatoes","2016","2016","tonnes","314","Im","FAO data based on imputation methodology"
"QC","Crops","89","Guatemala","5510","Production","388","Tomatoes","2016","2016","tonnes","314598","","Official data"
"QC","Crops","91","Guyana","5510","Production","388","Tomatoes","2016","2016","tonnes","19092","","Official data"
"QC","Crops","93","Haiti","5510","Production","388","Tomatoes","2016","2016","tonnes","2362","Im","FAO data based on imputation methodology"
"QC","Crops","95","Honduras","5510","Production","388","Tomatoes","2016","2016","tonnes","163380","Im","FAO data based on imputation methodology"
"QC","Crops","97","Hungary","5510","Production","388","Tomatoes","2016","2016","tonnes","198801","Im","FAO data based on imputation methodology"
"QC","Crops","99","Iceland","5510","Production","388","Tomatoes","2016","2016","tonnes","1436","","Official data"
"QC","Crops","100","India","5510","Production","388","Tomatoes","2016","2016","tonnes","18399000","","Official data"
"QC","Crops","101","Indonesia","5510","Production","388","Tomatoes","2016","2016","tonnes","883242","","Official data"
"QC","Crops","102","Iran (Islamic Republic of)","5510","Production","388","Tomatoes","2016","2016","tonnes","6372633","Im","FAO data based on imputation methodology"
"QC","Crops","103","Iraq","5510","Production","388","Tomatoes","2016","2016","tonnes","286596","","Official data"
"QC","Crops","104","Ireland","5510","Production","388","Tomatoes","2016","2016","tonnes","4000","","Official data"
"QC","Crops","105","Israel","5510","Production","388","Tomatoes","2016","2016","tonnes","385550","","Official data"
"QC","Crops","106","Italy","5510","Production","388","Tomatoes","2016","2016","tonnes","6437572","","Official data"
"QC","Crops","109","Jamaica","5510","Production","388","Tomatoes","2016","2016","tonnes","31427","","Official data"
"QC","Crops","110","Japan","5510","Production","388","Tomatoes","2016","2016","tonnes","743200","","Official data"
"QC","Crops","112","Jordan","5510","Production","388","Tomatoes","2016","2016","tonnes","837342","","Official data"
"QC","Crops","108","Kazakhstan","5510","Production","388","Tomatoes","2016","2016","tonnes","705550","","Official data"
"QC","Crops","114","Kenya","5510","Production","388","Tomatoes","2016","2016","tonnes","410033","","Official data"
"QC","Crops","118","Kuwait","5510","Production","388","Tomatoes","2016","2016","tonnes","76891","Im","FAO data based on imputation methodology"
"QC","Crops","113","Kyrgyzstan","5510","Production","388","Tomatoes","2016","2016","tonnes","234718","","Official data"
"QC","Crops","119","Latvia","5510","Production","388","Tomatoes","2016","2016","tonnes","5821","","Official data"
"QC","Crops","121","Lebanon","5510","Production","388","Tomatoes","2016","2016","tonnes","291256","Im","FAO data based on imputation methodology"
"QC","Crops","123","Liberia","5510","Production","388","Tomatoes","2016","2016","tonnes","2681","Im","FAO data based on imputation methodology"
"QC","Crops","124","Libya","5510","Production","388","Tomatoes","2016","2016","tonnes","215767","Im","FAO data based on imputation methodology"
